event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
31471,Tsik,Tsik,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-2.857638120651245,""mean_token_logprob"":-0.9525460402170817,""token_logprobs"":[-2.856973171234131,-4.529942543740617e-06,-0.0006603206275030971]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.538363456726074,""mean_token_logprob"":-1.269181728363037,""token_logprobs"":[-2.5381791591644287,-0.0001842805795604363]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.288336992263794,""mean_token_logprob"":-1.144168496131897,""token_logprobs"":[-2.2881791591644287,-0.0001578206429257989]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.763004302978516,""mean_token_logprob"":-3.381502151489258,""token_logprobs"":[-2.2256791591644287,-4.537324905395508]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.1009879112243652,""mean_token_logprob"":-1.0504939556121826,""token_logprobs"":[-2.1006791591644287,-0.00030882356804795563]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.7902867794036865,""mean_token_logprob"":-0.7902867794036865,""token_logprobs"":[-0.7902867794036865]}]",Twitter,false
31828,Seep,Seep,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-2.3634815216064453,""mean_token_logprob"":-0.7878271738688151,""token_logprobs"":[-2.3630855083465576,-3.3378546504536644e-06,-0.000392598332837224]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.4667351245880127,""mean_token_logprob"":-1.2333675622940063,""token_logprobs"":[-2.4666099548339844,-0.00012516192509792745]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.7791459560394287,""mean_token_logprob"":-0.8895729780197144,""token_logprobs"":[-1.779110074043274,-3.58813522325363e-05]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.726629734039307,""mean_token_logprob"":-2.8633148670196533,""token_logprobs"":[-1.591610074043274,-4.135019779205322]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.9042246341705322,""mean_token_logprob"":-0.9521123170852661,""token_logprobs"":[-1.904110074043274,-0.00011455356434453279]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.2276339530944824,""mean_token_logprob"":-1.2276339530944824,""token_logprobs"":[-1.2276339530944824]}]",Infant Cry,false
34756,Phee,Phee,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-2.7969322204589844,""mean_token_logprob"":-0.9323107401529948,""token_logprobs"":[-2.7965078353881836,-2.50339189733495e-06,-0.0004220310365781188]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.8700625896453857,""mean_token_logprob"":-0.9350312948226929,""token_logprobs"":[-1.8698867559432983,-0.00017581824795342982]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.1200968027114868,""mean_token_logprob"":-0.5600484013557434,""token_logprobs"":[-1.1198867559432983,-0.00021002470748499036]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.4879608154296875,""mean_token_logprob"":-3.2439804077148438,""token_logprobs"":[-2.494886875152588,-3.9930739402770996]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.682530641555786,""mean_token_logprob"":-1.341265320777893,""token_logprobs"":[-2.682386875152588,-0.00014375607133843005]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.1102747917175293,""mean_token_logprob"":-1.1102747917175293,""token_logprobs"":[-1.1102747917175293]}]",Seep,false
36485,Phee,Phee,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-2.7936391830444336,""mean_token_logprob"":-0.9312130610148112,""token_logprobs"":[-2.7931203842163086,-3.099436753473128e-06,-0.0005156855913810432]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.211721658706665,""mean_token_logprob"":-1.1058608293533325,""token_logprobs"":[-2.2115559577941895,-0.0001656871900195256]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.2116645574569702,""mean_token_logprob"":-0.6058322787284851,""token_logprobs"":[-1.211556077003479,-0.00010847456724150106]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.506662845611572,""mean_token_logprob"":-3.253331422805786,""token_logprobs"":[-2.4615559577941895,-4.045106887817383]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.0242674350738525,""mean_token_logprob"":-1.5121337175369263,""token_logprobs"":[-3.0240559577941895,-0.00021145492792129517]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.9612520933151245,""mean_token_logprob"":-0.9612520933151245,""token_logprobs"":[-0.9612520933151245]}]",Seep,false
36522,Twitter,Twitter,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-3.2207696437835693,""mean_token_logprob"":-1.0735898812611897,""token_logprobs"":[-3.2204296588897705,-1.5497195136049413e-06,-0.00033849707688204944]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.463359832763672,""mean_token_logprob"":-1.231679916381836,""token_logprobs"":[-2.4632647037506104,-9.512448741588742e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.3385300636291504,""mean_token_logprob"":-0.6692650318145752,""token_logprobs"":[-1.3382647037506104,-0.0002653246629051864]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.5833539962768555,""mean_token_logprob"":-3.2916769981384277,""token_logprobs"":[-2.1507647037506104,-4.432589530944824]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.900895833969116,""mean_token_logprob"":-1.450447916984558,""token_logprobs"":[-2.9007647037506104,-0.00013124081306159496]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.050342321395874,""mean_token_logprob"":-1.050342321395874,""token_logprobs"":[-1.050342321395874]}]",Seep,false
405841,Infant Cry,Infant Cry,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-3.352215528488159,""mean_token_logprob"":-1.1174051761627197,""token_logprobs"":[-3.3518786430358887,-2.145764938177308e-06,-0.00033480284037068486]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.433957099914551,""mean_token_logprob"":-1.2169785499572754,""token_logprobs"":[-2.433854579925537,-0.00010251473577227443]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.3718849420547485,""mean_token_logprob"":-0.6859424710273743,""token_logprobs"":[-1.3713544607162476,-0.0005304598016664386]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.9975810050964355,""mean_token_logprob"":-3.4987905025482178,""token_logprobs"":[-2.746354579925537,-4.251226425170898]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.746729612350464,""mean_token_logprob"":-1.373364806175232,""token_logprobs"":[-2.746354579925537,-0.00037496211007237434]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.8490822315216064,""mean_token_logprob"":-0.8490822315216064,""token_logprobs"":[-0.8490822315216064]}]",Seep,false
408631,Phee,Phee,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-2.652148723602295,""mean_token_logprob"":-0.8840495745340983,""token_logprobs"":[-2.651677131652832,-2.861018856492592e-06,-0.0004686211177613586]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.0914971828460693,""mean_token_logprob"":-1.0457485914230347,""token_logprobs"":[-2.091343641281128,-0.00015364897262770683]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.0289080142974854,""mean_token_logprob"":-1.0144540071487427,""token_logprobs"":[-2.028843641281128,-6.437094270950183e-05]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.342034339904785,""mean_token_logprob"":-3.1710171699523926,""token_logprobs"":[-2.216343641281128,-4.125690937042236]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.466468334197998,""mean_token_logprob"":-1.233234167098999,""token_logprobs"":[-2.466343641281128,-0.00012468514614738524]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.834632933139801,""mean_token_logprob"":-0.834632933139801,""token_logprobs"":[-0.834632933139801]}]",Twitter,false
50919,Tsik,Tsik,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-3.1190710067749023,""mean_token_logprob"":-1.039690335591634,""token_logprobs"":[-3.11863374710083,-1.9073468138230965e-06,-0.00043525759247131646]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.7756826877593994,""mean_token_logprob"":-1.3878413438796997,""token_logprobs"":[-2.77559757232666,-8.511180931236595e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.5257375240325928,""mean_token_logprob"":-0.7628687620162964,""token_logprobs"":[-1.5255975723266602,-0.0001399419124936685]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.577445983886719,""mean_token_logprob"":-3.2887229919433594,""token_logprobs"":[-2.58809757232666,-3.9893481731414795]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.6506896018981934,""mean_token_logprob"":-1.3253448009490967,""token_logprobs"":[-2.65059757232666,-9.214453893946484e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.078727126121521,""mean_token_logprob"":-1.078727126121521,""token_logprobs"":[-1.078727126121521]}]",Seep,false
51436,Trill,Trill,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-3.6339895725250244,""mean_token_logprob"":-1.2113298575083415,""token_logprobs"":[-3.633620262145996,-2.0265558760002023e-06,-0.00036745471879839897]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.269836664199829,""mean_token_logprob"":-1.1349183320999146,""token_logprobs"":[-2.2697370052337646,-9.965400386136025e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.2075082063674927,""mean_token_logprob"":-0.6037541031837463,""token_logprobs"":[-1.2072370052337646,-0.0002711643755901605]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.903651237487793,""mean_token_logprob"":-3.4518256187438965,""token_logprobs"":[-2.7697370052337646,-4.133913993835449]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.8949851989746094,""mean_token_logprob"":-1.4474925994873047,""token_logprobs"":[-2.8947370052337646,-0.00024816294899210334]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.9325543642044067,""mean_token_logprob"":-0.9325543642044067,""token_logprobs"":[-0.9325543642044067]}]",Seep,false
517703,Trill,Trill,1,6,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-3.234837532043457,""mean_token_logprob"":-1.078279177347819,""token_logprobs"":[-3.2345163822174072,-2.3841830625315197e-06,-0.00031871485407464206]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.327742099761963,""mean_token_logprob"":-1.1638710498809814,""token_logprobs"":[-2.327639102935791,-0.00010299152199877426]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.5154515504837036,""mean_token_logprob"":-0.7577257752418518,""token_logprobs"":[-1.5151389837265015,-0.00031251792097464204]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.69126558303833,""mean_token_logprob"":-3.345632791519165,""token_logprobs"":[-2.327639102935791,-4.363626480102539]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.7652699947357178,""mean_token_logprob"":-1.3826349973678589,""token_logprobs"":[-2.765139102935791,-0.00013100242358632386]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.0204572677612305,""mean_token_logprob"":-1.0204572677612305,""token_logprobs"":[-1.0204572677612305]}]",Seep,false
