event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
31471,Tsik,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.2196650505065918,""mean_token_logprob"":-1.2196650505065918,""token_logprobs"":[-1.2196650505065918]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.1571650505065918,""mean_token_logprob"":-1.1571650505065918,""token_logprobs"":[-1.1571650505065918]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.7196650505065918,""mean_token_logprob"":-1.7196650505065918,""token_logprobs"":[-1.7196650505065918]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.657165050506592,""mean_token_logprob"":-3.657165050506592,""token_logprobs"":[-3.657165050506592]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-4.719665050506592,""mean_token_logprob"":-4.719665050506592,""token_logprobs"":[-4.719665050506592]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-2.157165050506592,""mean_token_logprob"":-2.157165050506592,""token_logprobs"":[-2.157165050506592]}]",A,false
31828,Seep,B,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.364667296409607,""mean_token_logprob"":-1.364667296409607,""token_logprobs"":[-1.364667296409607]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.489667296409607,""mean_token_logprob"":-1.489667296409607,""token_logprobs"":[-1.489667296409607]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.552167296409607,""mean_token_logprob"":-1.552167296409607,""token_logprobs"":[-1.552167296409607]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.5521674156188965,""mean_token_logprob"":-3.5521674156188965,""token_logprobs"":[-3.5521674156188965]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.3021674156188965,""mean_token_logprob"":-3.3021674156188965,""token_logprobs"":[-3.3021674156188965]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.739667296409607,""mean_token_logprob"":-1.739667296409607,""token_logprobs"":[-1.739667296409607]}]",F,false
34756,Phee,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.401809811592102,""mean_token_logprob"":-1.401809811592102,""token_logprobs"":[-1.401809811592102]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.464309811592102,""mean_token_logprob"":-1.464309811592102,""token_logprobs"":[-1.464309811592102]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.651809811592102,""mean_token_logprob"":-1.651809811592102,""token_logprobs"":[-1.651809811592102]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.4018096923828125,""mean_token_logprob"":-3.4018096923828125,""token_logprobs"":[-3.4018096923828125]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.9018096923828125,""mean_token_logprob"":-3.9018096923828125,""token_logprobs"":[-3.9018096923828125]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.714309811592102,""mean_token_logprob"":-1.714309811592102,""token_logprobs"":[-1.714309811592102]}]",F,false
36485,Phee,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.3651628494262695,""mean_token_logprob"":-1.3651628494262695,""token_logprobs"":[-1.3651628494262695]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.6151628494262695,""mean_token_logprob"":-1.6151628494262695,""token_logprobs"":[-1.6151628494262695]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.6151628494262695,""mean_token_logprob"":-1.6151628494262695,""token_logprobs"":[-1.6151628494262695]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.1151628494262695,""mean_token_logprob"":-3.1151628494262695,""token_logprobs"":[-3.1151628494262695]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.8026628494262695,""mean_token_logprob"":-3.8026628494262695,""token_logprobs"":[-3.8026628494262695]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.5526628494262695,""mean_token_logprob"":-1.5526628494262695,""token_logprobs"":[-1.5526628494262695]}]",F,false
36522,Twitter,E,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.241990566253662,""mean_token_logprob"":-1.241990566253662,""token_logprobs"":[-1.241990566253662]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.491990566253662,""mean_token_logprob"":-1.491990566253662,""token_logprobs"":[-1.491990566253662]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.554490566253662,""mean_token_logprob"":-1.554490566253662,""token_logprobs"":[-1.554490566253662]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.616990566253662,""mean_token_logprob"":-3.616990566253662,""token_logprobs"":[-3.616990566253662]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.616990566253662,""mean_token_logprob"":-3.616990566253662,""token_logprobs"":[-3.616990566253662]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.804490566253662,""mean_token_logprob"":-1.804490566253662,""token_logprobs"":[-1.804490566253662]}]",F,false
405841,Infant Cry,F,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.4025236368179321,""mean_token_logprob"":-1.4025236368179321,""token_logprobs"":[-1.4025236368179321]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5275236368179321,""mean_token_logprob"":-1.5275236368179321,""token_logprobs"":[-1.5275236368179321]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.7150236368179321,""mean_token_logprob"":-1.7150236368179321,""token_logprobs"":[-1.7150236368179321]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.5900235176086426,""mean_token_logprob"":-3.5900235176086426,""token_logprobs"":[-3.5900235176086426]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.9650235176086426,""mean_token_logprob"":-3.9650235176086426,""token_logprobs"":[-3.9650235176086426]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.5275236368179321,""mean_token_logprob"":-1.5275236368179321,""token_logprobs"":[-1.5275236368179321]}]",F,true
408631,Phee,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.4140232801437378,""mean_token_logprob"":-1.4140232801437378,""token_logprobs"":[-1.4140232801437378]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5390232801437378,""mean_token_logprob"":-1.5390232801437378,""token_logprobs"":[-1.5390232801437378]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.6015232801437378,""mean_token_logprob"":-1.6015232801437378,""token_logprobs"":[-1.6015232801437378]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.7890233993530273,""mean_token_logprob"":-2.7890233993530273,""token_logprobs"":[-2.7890233993530273]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.7265233993530273,""mean_token_logprob"":-3.7265233993530273,""token_logprobs"":[-3.7265233993530273]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.6640232801437378,""mean_token_logprob"":-1.6640232801437378,""token_logprobs"":[-1.6640232801437378]}]",F,false
50919,Tsik,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.2001488208770752,""mean_token_logprob"":-1.2001488208770752,""token_logprobs"":[-1.2001488208770752]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5751488208770752,""mean_token_logprob"":-1.5751488208770752,""token_logprobs"":[-1.5751488208770752]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.6376488208770752,""mean_token_logprob"":-1.6376488208770752,""token_logprobs"":[-1.6376488208770752]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.637648820877075,""mean_token_logprob"":-3.637648820877075,""token_logprobs"":[-3.637648820877075]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-4.262648582458496,""mean_token_logprob"":-4.262648582458496,""token_logprobs"":[-4.262648582458496]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.7001488208770752,""mean_token_logprob"":-1.7001488208770752,""token_logprobs"":[-1.7001488208770752]}]",F,false
51436,Trill,C,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.357789158821106,""mean_token_logprob"":-1.357789158821106,""token_logprobs"":[-1.357789158821106]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.607789158821106,""mean_token_logprob"":-1.607789158821106,""token_logprobs"":[-1.607789158821106]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.545289158821106,""mean_token_logprob"":-1.545289158821106,""token_logprobs"":[-1.545289158821106]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.6077890396118164,""mean_token_logprob"":-3.6077890396118164,""token_logprobs"":[-3.6077890396118164]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.6702890396118164,""mean_token_logprob"":-3.6702890396118164,""token_logprobs"":[-3.6702890396118164]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.795289158821106,""mean_token_logprob"":-1.795289158821106,""token_logprobs"":[-1.795289158821106]}]",F,false
517703,Trill,C,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.4716880321502686,""mean_token_logprob"":-1.4716880321502686,""token_logprobs"":[-1.4716880321502686]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5966880321502686,""mean_token_logprob"":-1.5966880321502686,""token_logprobs"":[-1.5966880321502686]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.5966880321502686,""mean_token_logprob"":-1.5966880321502686,""token_logprobs"":[-1.5966880321502686]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.4716880321502686,""mean_token_logprob"":-3.4716880321502686,""token_logprobs"":[-3.4716880321502686]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-4.159188270568848,""mean_token_logprob"":-4.159188270568848,""token_logprobs"":[-4.159188270568848]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.5966880321502686,""mean_token_logprob"":-1.5966880321502686,""token_logprobs"":[-1.5966880321502686]}]",F,false
518079,Phee,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-1.3249518871307373,""mean_token_logprob"":-1.3249518871307373,""token_logprobs"":[-1.3249518871307373]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5749518871307373,""mean_token_logprob"":-1.5749518871307373,""token_logprobs"":[-1.5749518871307373]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.6374518871307373,""mean_token_logprob"":-1.6374518871307373,""token_logprobs"":[-1.6374518871307373]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.0749518871307373,""mean_token_logprob"":-3.0749518871307373,""token_logprobs"":[-3.0749518871307373]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.7624518871307373,""mean_token_logprob"":-3.7624518871307373,""token_logprobs"":[-3.7624518871307373]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.6374518871307373,""mean_token_logprob"":-1.6374518871307373,""token_logprobs"":[-1.6374518871307373]}]",F,false
