event_id,recording_id,target,prompt_name,prediction_mean,prediction_sum,correct_mean,correct_sum,candidate_scores_json
110359,2022_2_4,Tsik,bare,Tsik,Tsik,true,true,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-10.791929244995117,""mean_token_logprob"":-3.5973097483317056,""token_logprobs"":[-10.791345596313477,-4.172316494077677e-06,-0.0005802616360597312]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-3.139545440673828,""mean_token_logprob"":-1.569772720336914,""token_logprobs"":[-3.1395297050476074,-1.585470999998506e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.28525972366333,""mean_token_logprob"":-1.642629861831665,""token_logprobs"":[-3.2852559089660645,-3.814689989667386e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.087143898010254,""mean_token_logprob"":-2.543571949005127,""token_logprobs"":[-3.193897247314453,-1.8932468891143799]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-0.5283769965171814,""mean_token_logprob"":-0.2641884982585907,""token_logprobs"":[-0.5280811786651611,-0.00029583368450403214]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.488806962966919,""mean_token_logprob"":-1.488806962966919,""token_logprobs"":[-1.488806962966919]}]"
110359,2022_2_4,Tsik,definition,Twitter,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-9.040217399597168,""mean_token_logprob"":-3.0134057998657227,""token_logprobs"":[-9.039989471435547,-2.145764938177308e-06,-0.0002256377338198945]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-4.342215538024902,""mean_token_logprob"":-2.171107769012451,""token_logprobs"":[-4.342167854309082,-4.7801782784517854e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.784064531326294,""mean_token_logprob"":-1.392032265663147,""token_logprobs"":[-2.784061908721924,-2.622600959512056e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.442580223083496,""mean_token_logprob"":-3.221290111541748,""token_logprobs"":[-3.6682798862457275,-2.7743000984191895]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.534837007522583,""mean_token_logprob"":-1.7674185037612915,""token_logprobs"":[-3.5348331928253174,-3.814689989667386e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.1484220325946808,""mean_token_logprob"":-0.1484220325946808,""token_logprobs"":[-0.1484220325946808]}]"
110581,2022_2_4,Tsik,bare,Tsik,Tsik,true,true,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-12.282034873962402,""mean_token_logprob"":-4.094011624654134,""token_logprobs"":[-12.281045913696289,-6.318072337307967e-06,-0.0009825170272961259]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-3.009734869003296,""mean_token_logprob"":-1.504867434501648,""token_logprobs"":[-3.0097157955169678,-1.9073304429184645e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-4.146844387054443,""mean_token_logprob"":-2.0734221935272217,""token_logprobs"":[-4.1468377113342285,-6.556489552167477e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.720912933349609,""mean_token_logprob"":-2.8604564666748047,""token_logprobs"":[-4.770699977874756,-0.950212836265564]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-0.19001176953315735,""mean_token_logprob"":-0.09500588476657867,""token_logprobs"":[-0.18976062536239624,-0.000251142424531281]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-2.656803607940674,""mean_token_logprob"":-2.656803607940674,""token_logprobs"":[-2.656803607940674]}]"
110581,2022_2_4,Tsik,definition,Twitter,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-10.517640113830566,""mean_token_logprob"":-3.505880037943522,""token_logprobs"":[-10.517350196838379,-1.6689286894688848e-06,-0.000288087350782007]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-4.1802077293396,""mean_token_logprob"":-2.0901038646698,""token_logprobs"":[-4.180168628692627,-3.9219088648678735e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.601628541946411,""mean_token_logprob"":-1.3008142709732056,""token_logprobs"":[-2.6016268730163574,-1.6689286894688848e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.105010032653809,""mean_token_logprob"":-3.0525050163269043,""token_logprobs"":[-4.107210636138916,-1.9977993965148926]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.5395314693450928,""mean_token_logprob"":-1.7697657346725464,""token_logprobs"":[-3.539524555206299,-7.033323527139146e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.16029782593250275,""mean_token_logprob"":-0.16029782593250275,""token_logprobs"":[-0.16029782593250275]}]"
122742,2022_2_6,Tsik,bare,Phee,Phee,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-8.450013160705566,""mean_token_logprob"":-2.816671053568522,""token_logprobs"":[-8.449225425720215,-4.172316494077677e-06,-0.0007839705212973058]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.314333438873291,""mean_token_logprob"":-0.6571667194366455,""token_logprobs"":[-1.3143190145492554,-1.4424220353248529e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.6675832271575928,""mean_token_logprob"":-0.8337916135787964,""token_logprobs"":[-1.6675820350646973,-1.1920922133867862e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.57588005065918,""mean_token_logprob"":-3.28794002532959,""token_logprobs"":[-3.103855848312378,-3.4720242023468018]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.4312705993652344,""mean_token_logprob"":-0.7156352996826172,""token_logprobs"":[-1.4311007261276245,-0.00016985881666187197]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.7563101053237915,""mean_token_logprob"":-1.7563101053237915,""token_logprobs"":[-1.7563101053237915]}]"
122742,2022_2_6,Tsik,definition,Twitter,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.90961217880249,""mean_token_logprob"":-2.30320405960083,""token_logprobs"":[-6.909418106079102,-1.311301275563892e-06,-0.00019262365822214633]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.2543277740478516,""mean_token_logprob"":-1.1271638870239258,""token_logprobs"":[-2.254291534423828,-3.6238969187252223e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.7037498950958252,""mean_token_logprob"":-0.8518749475479126,""token_logprobs"":[-1.703747272491455,-2.622600959512056e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-4.470478057861328,""mean_token_logprob"":-2.235239028930664,""token_logprobs"":[-3.5658516883850098,-0.9046266078948975]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.2556135654449463,""mean_token_logprob"":-1.6278067827224731,""token_logprobs"":[-3.2556092739105225,-4.410734163684538e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.4725109040737152,""mean_token_logprob"":-0.4725109040737152,""token_logprobs"":[-0.4725109040737152]}]"
166603,2022_3_1,Twitter,bare,Phee,Phee,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.941455841064453,""mean_token_logprob"":-2.6471519470214844,""token_logprobs"":[-7.940469264984131,-2.7418097943154862e-06,-0.0009839460253715515]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.178072452545166,""mean_token_logprob"":-0.589036226272583,""token_logprobs"":[-1.1780577898025513,-1.4662635294371285e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.2566649913787842,""mean_token_logprob"":-0.6283324956893921,""token_logprobs"":[-1.2566640377044678,-9.536738616588991e-07]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-4.842555046081543,""mean_token_logprob"":-2.4212775230407715,""token_logprobs"":[-3.512887477874756,-1.329667329788208]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.679868459701538,""mean_token_logprob"":-0.839934229850769,""token_logprobs"":[-1.6795402765274048,-0.0003281293320469558]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.7950648069381714,""mean_token_logprob"":-1.7950648069381714,""token_logprobs"":[-1.7950648069381714]}]"
166603,2022_3_1,Twitter,definition,Twitter,Twitter,true,true,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.635369300842285,""mean_token_logprob"":-2.5451231002807617,""token_logprobs"":[-7.635110378265381,-9.536738616588991e-07,-0.0002579356369096786]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.760014057159424,""mean_token_logprob"":-1.380007028579712,""token_logprobs"":[-2.7599704265594482,-4.3748852476710454e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.7678673267364502,""mean_token_logprob"":-0.8839336633682251,""token_logprobs"":[-1.767865777015686,-1.5497195136049413e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.850966930389404,""mean_token_logprob"":-2.925483465194702,""token_logprobs"":[-3.406001091003418,-2.4449658393859863]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.4213106632232666,""mean_token_logprob"":-1.7106553316116333,""token_logprobs"":[-3.4213037490844727,-6.9141146923357155e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.3963221311569214,""mean_token_logprob"":-0.3963221311569214,""token_logprobs"":[-0.3963221311569214]}]"
190781,2022_4_0,Trill,bare,Phee,Phee,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.289593696594238,""mean_token_logprob"":-2.4298645655314126,""token_logprobs"":[-7.288928031921387,-2.622600959512056e-06,-0.0006632988806813955]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-0.7275213599205017,""mean_token_logprob"":-0.36376067996025085,""token_logprobs"":[-0.7275120615959167,-9.298280929215252e-06]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.6041843891143799,""mean_token_logprob"":-0.8020921945571899,""token_logprobs"":[-1.6041834354400635,-9.536738616588991e-07]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.220979690551758,""mean_token_logprob"":-3.110489845275879,""token_logprobs"":[-3.2045047283172607,-3.016474723815918]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.3303046226501465,""mean_token_logprob"":-1.1651523113250732,""token_logprobs"":[-2.3301916122436523,-0.00011312322021694854]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-2.0400121212005615,""mean_token_logprob"":-2.0400121212005615,""token_logprobs"":[-2.0400121212005615]}]"
190781,2022_4_0,Trill,definition,Twitter,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.208664894104004,""mean_token_logprob"":-2.0695549647013345,""token_logprobs"":[-6.208296775817871,-1.311301275563892e-06,-0.0003666205739136785]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.050352096557617,""mean_token_logprob"":-1.0251760482788086,""token_logprobs"":[-2.050311803817749,-4.029192859889008e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.831093430519104,""mean_token_logprob"":-0.915546715259552,""token_logprobs"":[-1.831091046333313,-2.3841830625315197e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-4.067981719970703,""mean_token_logprob"":-2.0339908599853516,""token_logprobs"":[-2.9623329639434814,-1.1056488752365112]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.2412140369415283,""mean_token_logprob"":-1.6206070184707642,""token_logprobs"":[-3.2412028312683105,-1.1205610462639015e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.550311803817749,""mean_token_logprob"":-0.550311803817749,""token_logprobs"":[-0.550311803817749]}]"
