model_id,event_id,condition,target,raw_prediction,prediction,correct
Qwen/Qwen2.5-Omni-3B,131555,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,162983,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,193131,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,201275,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,213327,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,221925,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223069,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223077,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223247,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223262,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223312,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223332,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223352,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223375,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223383,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223396,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223400,full_0-8k,Infant Cry,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,223402,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,234304,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,237804,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,238029,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,238142,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,238306,full_0-8k,Infant Cry,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,299793,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,315549,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,329778,full_0-8k,Infant Cry,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,342684,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,350340,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,352081,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,354197,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,357670,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,372773,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,401218,full_0-8k,Infant Cry,Phee,Phee,false
