event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
31471,Tsik,Tsik,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.40456485748291,""mean_token_logprob"":-2.4681882858276367,""token_logprobs"":[-5.367756366729736,-9.536738616588991e-07,-2.0368075370788574]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-4.2034711837768555,""mean_token_logprob"":-2.1017355918884277,""token_logprobs"":[-3.1006484031677246,-1.1028227806091309]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.7256522178649902,""mean_token_logprob"":-1.8628261089324951,""token_logprobs"":[-3.7256484031677246,-3.814689989667386e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-3.041790246963501,""mean_token_logprob"":-1.5208951234817505,""token_logprobs"":[-3.0381484031677246,-0.0036418798845261335]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.8506650924682617,""mean_token_logprob"":-1.4253325462341309,""token_logprobs"":[-2.8506484031677246,-1.6689160474925302e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.30149149894714355,""mean_token_logprob"":-0.30149149894714355,""token_logprobs"":[-0.30149149894714355]}]",Twitter,false
31828,Seep,Seep,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.7282395362854,""mean_token_logprob"":-2.2427465120951333,""token_logprobs"":[-4.914380073547363,-5.960462772236497e-07,-1.8138588666915894]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-6.921505451202393,""mean_token_logprob"":-3.4607527256011963,""token_logprobs"":[-2.9611434936523438,-3.960361957550049]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.211148500442505,""mean_token_logprob"":-1.6055742502212524,""token_logprobs"":[-3.2111434936523438,-5.006777428206988e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.277974843978882,""mean_token_logprob"":-1.138987421989441,""token_logprobs"":[-2.2736434936523438,-0.004331255331635475]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.336158514022827,""mean_token_logprob"":-1.1680792570114136,""token_logprobs"":[-2.3361434936523438,-1.5139465176616795e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.4478294253349304,""mean_token_logprob"":-0.4478294253349304,""token_logprobs"":[-0.4478294253349304]}]",Twitter,false
34756,Phee,Phee,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.564739227294922,""mean_token_logprob"":-2.5215797424316406,""token_logprobs"":[-5.456979274749756,-5.960462772236497e-07,-2.107759475708008]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-6.808348178863525,""mean_token_logprob"":-3.4041740894317627,""token_logprobs"":[-2.569517135620117,-4.238831043243408]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.819528341293335,""mean_token_logprob"":-1.4097641706466675,""token_logprobs"":[-2.819517135620117,-1.1324817933200393e-05]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-4.676512718200684,""mean_token_logprob"":-2.338256359100342,""token_logprobs"":[-3.194517135620117,-1.4819953441619873]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.6945488452911377,""mean_token_logprob"":-1.3472744226455688,""token_logprobs"":[-2.694517135620117,-3.1709168979432434e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.3491821885108948,""mean_token_logprob"":-0.3491821885108948,""token_logprobs"":[-0.3491821885108948]}]",Twitter,false
36485,Phee,Phee,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.426791191101074,""mean_token_logprob"":-2.142263730367025,""token_logprobs"":[-5.111433982849121,-5.960462772236497e-07,-1.3153566122055054]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-9.124699592590332,""mean_token_logprob"":-4.562349796295166,""token_logprobs"":[-2.5983211994171143,-6.526378154754639]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.035824775695801,""mean_token_logprob"":-1.5179123878479004,""token_logprobs"":[-3.0358211994171143,-3.6954811548639555e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.7249581813812256,""mean_token_logprob"":-1.3624790906906128,""token_logprobs"":[-2.7233211994171143,-0.0016369527438655496]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.5983357429504395,""mean_token_logprob"":-1.2991678714752197,""token_logprobs"":[-2.5983211994171143,-1.4543427823809907e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.37053555250167847,""mean_token_logprob"":-0.37053555250167847,""token_logprobs"":[-0.37053555250167847]}]",Twitter,false
36522,Twitter,Twitter,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.590174674987793,""mean_token_logprob"":-2.530058224995931,""token_logprobs"":[-5.366522312164307,-7.152555099310121e-07,-2.223651885986328]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-7.235259532928467,""mean_token_logprob"":-3.6176297664642334,""token_logprobs"":[-2.7346057891845703,-4.5006537437438965]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.234610080718994,""mean_token_logprob"":-1.117305040359497,""token_logprobs"":[-2.2346057891845703,-4.410734163684538e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.2103095054626465,""mean_token_logprob"":-2.6051547527313232,""token_logprobs"":[-3.2346057891845703,-1.9757038354873657]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.7346224784851074,""mean_token_logprob"":-1.3673112392425537,""token_logprobs"":[-2.7346057891845703,-1.6689160474925302e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.3669205904006958,""mean_token_logprob"":-0.3669205904006958,""token_logprobs"":[-0.3669205904006958]}]",Twitter,true
405841,Infant Cry,Infant Cry,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.811926364898682,""mean_token_logprob"":-2.270642121632894,""token_logprobs"":[-5.964062690734863,-5.960462772236497e-07,-0.8478634357452393]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-9.31006145477295,""mean_token_logprob"":-4.655030727386475,""token_logprobs"":[-3.528928279876709,-5.78113317489624]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.4664409160614014,""mean_token_logprob"":-1.7332204580307007,""token_logprobs"":[-3.466428279876709,-1.2755313036905136e-05]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.784902334213257,""mean_token_logprob"":-1.3924511671066284,""token_logprobs"":[-2.778928279876709,-0.00597393698990345]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.966463327407837,""mean_token_logprob"":-1.4832316637039185,""token_logprobs"":[-2.966428279876709,-3.504691630951129e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.19360925257205963,""mean_token_logprob"":-0.19360925257205963,""token_logprobs"":[-0.19360925257205963]}]",Twitter,false
408631,Phee,Phee,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.578749179840088,""mean_token_logprob"":-2.526249726613363,""token_logprobs"":[-5.225189685821533,-5.960462772236497e-07,-2.3535590171813965]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-3.4337081909179688,""mean_token_logprob"":-1.7168540954589844,""token_logprobs"":[-2.3837671279907227,-1.049941062927246]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.5087714195251465,""mean_token_logprob"":-1.2543857097625732,""token_logprobs"":[-2.5087671279907227,-4.291525328881107e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-3.306457042694092,""mean_token_logprob"":-1.653228521347046,""token_logprobs"":[-3.0087671279907227,-0.2976897954940796]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.6962931156158447,""mean_token_logprob"":-1.3481465578079224,""token_logprobs"":[-2.6962671279907227,-2.610649426060263e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.393149733543396,""mean_token_logprob"":-0.393149733543396,""token_logprobs"":[-0.393149733543396]}]",Twitter,false
50919,Tsik,Tsik,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.188298225402832,""mean_token_logprob"":-2.396099408467611,""token_logprobs"":[-5.354371547698975,-5.960462772236497e-07,-1.8339262008666992]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-11.311992645263672,""mean_token_logprob"":-5.655996322631836,""token_logprobs"":[-3.420743465423584,-7.89124870300293]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.23325252532959,""mean_token_logprob"":-1.616626262664795,""token_logprobs"":[-3.233243465423584,-9.179073458653875e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.363600492477417,""mean_token_logprob"":-1.1818002462387085,""token_logprobs"":[-2.358243465423584,-0.005356958135962486]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.7957608699798584,""mean_token_logprob"":-1.3978804349899292,""token_logprobs"":[-2.795743465423584,-1.7404405298293568e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.2592448890209198,""mean_token_logprob"":-0.2592448890209198,""token_logprobs"":[-0.2592448890209198]}]",Twitter,false
51436,Trill,Trill,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.716761112213135,""mean_token_logprob"":-2.2389203707377114,""token_logprobs"":[-5.788753032684326,-1.0728830375228426e-06,-0.9280071258544922]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-5.105879306793213,""mean_token_logprob"":-2.5529396533966064,""token_logprobs"":[-3.5945754051208496,-1.5113039016723633]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.282083749771118,""mean_token_logprob"":-1.641041874885559,""token_logprobs"":[-3.2820754051208496,-8.34461570775602e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.414978504180908,""mean_token_logprob"":-1.207489252090454,""token_logprobs"":[-2.4070754051208496,-0.007903020828962326]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.719590902328491,""mean_token_logprob"":-1.3597954511642456,""token_logprobs"":[-2.7195754051208496,-1.549708758830093e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.2845401465892792,""mean_token_logprob"":-0.2845401465892792,""token_logprobs"":[-0.2845401465892792]}]",Twitter,false
517703,Trill,Trill,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-5.638434410095215,""mean_token_logprob"":-1.879478136698405,""token_logprobs"":[-5.03708553314209,-1.5497195136049413e-06,-0.6013473868370056]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-3.81795072555542,""mean_token_logprob"":-1.90897536277771,""token_logprobs"":[-3.111002206802368,-0.7069485783576965]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-3.1110129356384277,""mean_token_logprob"":-1.5555064678192139,""token_logprobs"":[-3.111002206802368,-1.0847986231965479e-05]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.2421629428863525,""mean_token_logprob"":-1.1210814714431763,""token_logprobs"":[-2.236002206802368,-0.006160674151033163]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.6110196113586426,""mean_token_logprob"":-1.3055098056793213,""token_logprobs"":[-2.611002206802368,-1.7404405298293568e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.3543645143508911,""mean_token_logprob"":-0.3543645143508911,""token_logprobs"":[-0.3543645143508911]}]",Twitter,false
518079,Phee,Phee,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.493311882019043,""mean_token_logprob"":-2.497770627339681,""token_logprobs"":[-5.287917613983154,-4.768370445162873e-07,-2.2053937911987305]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-8.837175369262695,""mean_token_logprob"":-4.418587684631348,""token_logprobs"":[-2.566448926925659,-6.270726680755615]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.566452980041504,""mean_token_logprob"":-1.283226490020752,""token_logprobs"":[-2.566448926925659,-4.172316494077677e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-3.328310012817383,""mean_token_logprob"":-1.6641550064086914,""token_logprobs"":[-2.753948926925659,-0.5743612051010132]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.6289823055267334,""mean_token_logprob"":-1.3144911527633667,""token_logprobs"":[-2.628948926925659,-3.3378044463461265e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.3516071140766144,""mean_token_logprob"":-0.3516071140766144,""token_logprobs"":[-0.3516071140766144]}]",Twitter,false
521545,Phee,Phee,2,12,audio_icl_candidate,candidate,,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.188157081604004,""mean_token_logprob"":-2.0627190272013345,""token_logprobs"":[-4.561848163604736,-3.576278118089249e-07,-1.6263084411621094]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-8.658476829528809,""mean_token_logprob"":-4.329238414764404,""token_logprobs"":[-2.516173839569092,-6.142302989959717]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-2.641176700592041,""mean_token_logprob"":-1.3205883502960205,""token_logprobs"":[-2.641173839569092,-2.861018856492592e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-2.207043409347534,""mean_token_logprob"":-1.103521704673767,""token_logprobs"":[-2.203673839569092,-0.0033694894518703222]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.7036867141723633,""mean_token_logprob"":-1.3518433570861816,""token_logprobs"":[-2.703673839569092,-1.2874520507466514e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.4370046555995941,""mean_token_logprob"":-0.4370046555995941,""token_logprobs"":[-0.4370046555995941]}]",Twitter,false
