model_id,event_id,dataset_name,instruction_text,target,raw_prediction,canonical_prediction,canonical_target,exact_match,batch_size
Qwen/Qwen2.5-Omni-7B,1b2740e9-75d1-4fcf-ba0b-3b2144657550,unseen-genus-cmn,What is the common name for the focal species in the audio?,Spotted Nightjar,The common name for the focal species is the Common Chuckwalla.,the common name for the focal species is the common chuckwalla,spotted nightjar,false,1
Qwen/Qwen2.5-Omni-7B,10429e46-a247-45e5-98a4-d489e64af8de,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Sittidae Sitta castanea,The taxonomic name of the focal species is Psittacula krameri.,the taxonomic name of the focal species is psittacula krameri,chordata aves passeriformes sittidae sitta castanea,false,1
Qwen/Qwen2.5-Omni-7B,9775a19a-e297-49be-a0af-7805e240158a,unseen-genus-sci,What is the scientific name for the focal species in the audio?,Aphelocephala pectoralis,The scientific name for the focal species is Passerina ciris.,the scientific name for the focal species is passerina ciris,aphelocephala pectoralis,false,1
Qwen/Qwen2.5-Omni-7B,82d44d06-c56a-46d6-b780-105bdb8340e0,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Hirundinidae Progne dominicensis,The taxonomic name of the focal species is Psittacula krameri.,the taxonomic name of the focal species is psittacula krameri,chordata aves passeriformes hirundinidae progne dominicensis,false,1
Qwen/Qwen2.5-Omni-7B,0cdc2077-89cd-4b0c-a76c-4d637b5dd9e7,unseen-genus-sci,What is the scientific name for the focal species in the audio?,Cryptotympana facialis,The scientific name for the focal species is Anax junius.,the scientific name for the focal species is anax junius,cryptotympana facialis,false,1
Qwen/Qwen2.5-Omni-7B,5fa62c17-f1a2-47cf-b292-9a92d0320402,unseen-genus-cmn,What is the common name for the focal species in the audio?,Princess Stephanie's Astrapia,The common name for the focal species in the audio is the Common Myna.,the common name for the focal species in the audio is the common myna,princess stephanie s astrapia,false,1
Qwen/Qwen2.5-Omni-7B,024aa490-7ae1-4043-b6b0-71b7c9081e0d,unseen-genus-cmn,What is the common name for the focal species in the audio?,Goldenface,The common name for the focal species is the Eastern Phoebe.,the common name for the focal species is the eastern phoebe,goldenface,false,1
Qwen/Qwen2.5-Omni-7B,ac2c9444-f96d-498a-8832-697369194bb6,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Apodiformes Trochilidae Lesbia victoriae,The taxonomic name of the focal species is Sitta europaea.,the taxonomic name of the focal species is sitta europaea,chordata aves apodiformes trochilidae lesbia victoriae,false,1
Qwen/Qwen2.5-Omni-7B,22955a09-1faf-4f54-8a87-a96e6229d4a8,unseen-species-sci,What is the scientific name for the focal species in the audio?,Buteo trizonatus,The scientific name for the focal species is Psittacula krameri.,the scientific name for the focal species is psittacula krameri,buteo trizonatus,false,1
Qwen/Qwen2.5-Omni-7B,b44537ee-890e-4d76-8643-6874fcc003c3,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Psittaciformes Psittacidae Probosciger aterrimus,The taxonomic name of the focal species is Psophodes olivaceus.,the taxonomic name of the focal species is psophodes olivaceus,chordata aves psittaciformes psittacidae probosciger aterrimus,false,1
