model_id,event_id,condition,target,raw_prediction,prediction,correct,batch_size
Qwen/Qwen2.5-Omni-7B,193131,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,213327,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223077,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223312,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223332,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223352,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223383,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223396,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223400,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,299793,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,329778,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,342684,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,352081,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,354197,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,357670,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,405841,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,508764,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508801,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,509083,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,509091,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,518850,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,526040,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526671,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,526711,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,540984,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,558438,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,558594,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558633,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,565266,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,583214,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,604234,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,609454,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,612455,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,618440,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,623691,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,628729,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,631861,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,6633,full_0-8k,Infant Cry,Tsik,Tsik,false,1
