model_id,event_id,condition,target,raw_prediction,prediction,correct,batch_size
Qwen/Qwen2.5-Omni-7B,test_10,full_0-8k,Clymene_Dolphin,False Killer Whale,False_Killer_Whale,false,1
Qwen/Qwen2.5-Omni-7B,test_10,lp_0-1000,Clymene_Dolphin,False Killer Whale,False_Killer_Whale,false,1
Qwen/Qwen2.5-Omni-7B,test_16,full_0-8k,Clymene_Dolphin,False Killer Whale,False_Killer_Whale,false,1
Qwen/Qwen2.5-Omni-7B,test_16,lp_0-1000,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_19,full_0-8k,Clymene_Dolphin,False Killer Whale,False_Killer_Whale,false,1
Qwen/Qwen2.5-Omni-7B,test_19,lp_0-1000,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_21,full_0-8k,Clymene_Dolphin,Bottlenose Dolphin,Bottlenose_Dolphin,false,1
Qwen/Qwen2.5-Omni-7B,test_21,lp_0-1000,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_31,full_0-8k,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_31,lp_0-1000,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_32,full_0-8k,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_32,lp_0-1000,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_33,full_0-8k,Clymene_Dolphin,False Killer Whale,False_Killer_Whale,false,1
Qwen/Qwen2.5-Omni-7B,test_33,lp_0-1000,Clymene_Dolphin,False Killer Whale,False_Killer_Whale,false,1
Qwen/Qwen2.5-Omni-7B,test_35,full_0-8k,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
Qwen/Qwen2.5-Omni-7B,test_35,lp_0-1000,Clymene_Dolphin,"Beluga, White Whale","Beluga,_White_Whale",false,1
