model_id,event_id,condition,target,raw_prediction,prediction,correct,batch_size
Qwen/Qwen2.5-Omni-7B,131555,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,162983,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,193131,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,201275,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,213327,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,221925,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223069,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,223077,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223247,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223262,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223312,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223332,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223352,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223375,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223383,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223396,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223400,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223402,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,234304,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,237804,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,238029,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,238142,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,238306,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,299793,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,315549,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,329778,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,342684,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,350340,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,352081,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,354197,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,357670,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,372773,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,401218,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,405841,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,501612,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508745,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,508764,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508780,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508801,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,509083,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,509091,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,509092,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,509100,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,518850,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,524694,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,524878,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526040,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526541,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526671,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526711,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,540984,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558438,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558594,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558633,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,558689,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,562625,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,565266,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,57995,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,583214,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,596191,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,604234,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,609454,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,612455,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,612456,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,612715,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,618440,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,623676,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,623691,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,628729,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,631861,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,651191,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,657848,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,659272,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,6633,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,664504,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,666082,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,667865,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,667905,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,669950,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,669953,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,670039,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,691528,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,693164,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,695093,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,696291,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,725567,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,729021,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,731937,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,742006,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,763863,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,765458,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,765518,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,786486,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,799579,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,817109,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,817681,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,866025,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,867327,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,868095,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,9024,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,101138,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,108998,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,161381,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,202978,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,209319,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,211839,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,221515,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,223107,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223154,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223196,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,223198,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223206,full_0-8k,Phee,Phee,Phee,true,1
