event_id,recording_id,target,prompt_name,prediction_mean,prediction_sum,correct_mean,correct_sum,candidate_scores_json
131555,2022_2_6,Infant Cry,bare,Tsik,Tsik,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-9.565814971923828,""mean_token_logprob"":-3.188604990641276,""token_logprobs"":[-9.564826011657715,-3.933898824470816e-06,-0.0009848987683653831]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.7118085622787476,""mean_token_logprob"":-0.8559042811393738,""token_logprobs"":[-1.7117946147918701,-1.3947389561508317e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.3857488632202148,""mean_token_logprob"":-0.6928744316101074,""token_logprobs"":[-1.3857477903366089,-1.0728830375228426e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.184935569763184,""mean_token_logprob"":-3.092467784881592,""token_logprobs"":[-3.461075782775879,-2.723860025405884]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.0025724172592163,""mean_token_logprob"":-0.5012862086296082,""token_logprobs"":[-1.0023760795593262,-0.00019631843315437436]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-2.173739433288574,""mean_token_logprob"":-2.173739433288574,""token_logprobs"":[-2.173739433288574]}]"
131555,2022_2_6,Infant Cry,definition,Seep,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.679172515869141,""mean_token_logprob"":-2.226390838623047,""token_logprobs"":[-6.678867816925049,-1.6689286894688848e-06,-0.0003033416287507862]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.493191957473755,""mean_token_logprob"":-1.2465959787368774,""token_logprobs"":[-2.4931299686431885,-6.19869097135961e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.1473162174224854,""mean_token_logprob"":-0.5736581087112427,""token_logprobs"":[-1.1473135948181152,-2.622600959512056e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-4.726675033569336,""mean_token_logprob"":-2.363337516784668,""token_logprobs"":[-3.2739429473876953,-1.4527323246002197]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-2.8234148025512695,""mean_token_logprob"":-1.4117074012756348,""token_logprobs"":[-2.8234004974365234,-1.4305012882687151e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.867071270942688,""mean_token_logprob"":-0.867071270942688,""token_logprobs"":[-0.867071270942688]}]"
162983,2022_3_1,Infant Cry,bare,Seep,Seep,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-8.453678131103516,""mean_token_logprob"":-2.8178927103678384,""token_logprobs"":[-8.452927589416504,-2.50339189733495e-06,-0.0007476395112462342]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.0954887866973877,""mean_token_logprob"":-0.5477443933486938,""token_logprobs"":[-1.0954772233963013,-1.156323378381785e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.0023388862609863,""mean_token_logprob"":-0.5011694431304932,""token_logprobs"":[-1.0023380517959595,-8.344646857949556e-07]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.84542179107666,""mean_token_logprob"":-2.92271089553833,""token_logprobs"":[-3.2071006298065186,-2.6383209228515625]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.9707189798355103,""mean_token_logprob"":-0.9853594899177551,""token_logprobs"":[-1.9704772233963013,-0.00024172721896320581]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-2.3210463523864746,""mean_token_logprob"":-2.3210463523864746,""token_logprobs"":[-2.3210463523864746]}]"
162983,2022_3_1,Infant Cry,definition,Seep,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-6.367534160614014,""mean_token_logprob"":-2.122511386871338,""token_logprobs"":[-6.367244243621826,-1.1920922133867862e-06,-0.0002889215829782188]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.5338523387908936,""mean_token_logprob"":-1.2669261693954468,""token_logprobs"":[-2.533809185028076,-4.327203714638017e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.0801467895507812,""mean_token_logprob"":-0.5400733947753906,""token_logprobs"":[-1.0801444053649902,-2.3841830625315197e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-4.891257286071777,""mean_token_logprob"":-2.4456286430358887,""token_logprobs"":[-3.1781818866729736,-1.7130751609802246]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.283815860748291,""mean_token_logprob"":-1.6419079303741455,""token_logprobs"":[-3.283809185028076,-6.794906312279636e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.6650956869125366,""mean_token_logprob"":-0.6650956869125366,""token_logprobs"":[-0.6650956869125366]}]"
193131,2022_3_3,Infant Cry,bare,Seep,Seep,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-8.768677711486816,""mean_token_logprob"":-2.9228925704956055,""token_logprobs"":[-8.7681245803833,-3.576272320060525e-06,-0.0005497612874023616]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.223918080329895,""mean_token_logprob"":-0.6119590401649475,""token_logprobs"":[-1.2239079475402832,-1.0132738680113107e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.0493756532669067,""mean_token_logprob"":-0.5246878266334534,""token_logprobs"":[-1.0493745803833008,-1.0728830375228426e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.642805099487305,""mean_token_logprob"":-3.3214025497436523,""token_logprobs"":[-3.50482439994812,-3.1379806995391846]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.6562941074371338,""mean_token_logprob"":-0.8281470537185669,""token_logprobs"":[-1.6561827659606934,-0.0001113352773245424]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-2.111874580383301,""mean_token_logprob"":-2.111874580383301,""token_logprobs"":[-2.111874580383301]}]"
193131,2022_3_3,Infant Cry,definition,Twitter,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-8.093035697937012,""mean_token_logprob"":-2.697678565979004,""token_logprobs"":[-8.092721939086914,-1.311301275563892e-06,-0.0003129946126136929]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-3.693809986114502,""mean_token_logprob"":-1.846904993057251,""token_logprobs"":[-3.6937665939331055,-4.351044481154531e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.561475157737732,""mean_token_logprob"":-0.780737578868866,""token_logprobs"":[-1.5614721775054932,-2.9802276912960224e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.526205062866211,""mean_token_logprob"":-2.7631025314331055,""token_logprobs"":[-3.6564478874206543,-1.8697572946548462]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.386723041534424,""mean_token_logprob"":-1.693361520767212,""token_logprobs"":[-3.3867130279541016,-1.0013530300057027e-05]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.37397217750549316,""mean_token_logprob"":-0.37397217750549316,""token_logprobs"":[-0.37397217750549316]}]"
201275,2022_3_4,Infant Cry,bare,Phee,Phee,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-8.849882125854492,""mean_token_logprob"":-2.949960708618164,""token_logprobs"":[-8.849188804626465,-1.9073468138230965e-06,-0.0006910558440722525]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.4129680395126343,""mean_token_logprob"":-0.7064840197563171,""token_logprobs"":[-1.4129564762115479,-1.156323378381785e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.5219398736953735,""mean_token_logprob"":-0.7609699368476868,""token_logprobs"":[-1.5219389200210571,-9.536738616588991e-07]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-6.176608085632324,""mean_token_logprob"":-3.088304042816162,""token_logprobs"":[-3.134782552719116,-3.041825532913208]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.508351445198059,""mean_token_logprob"":-0.7541757225990295,""token_logprobs"":[-1.5081632137298584,-0.00018821375851985067]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-1.6295732259750366,""mean_token_logprob"":-1.6295732259750366,""token_logprobs"":[-1.6295732259750366]}]"
201275,2022_3_4,Infant Cry,definition,Twitter,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.34423828125,""mean_token_logprob"":-2.4480794270833335,""token_logprobs"":[-7.343911170959473,-1.4305104514278355e-06,-0.00032574593205936253]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-2.82936954498291,""mean_token_logprob"":-1.414684772491455,""token_logprobs"":[-2.8293209075927734,-4.8636207793606445e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-1.576319694519043,""mean_token_logprob"":-0.7881598472595215,""token_logprobs"":[-1.576317310333252,-2.3841830625315197e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.243700981140137,""mean_token_logprob"":-2.6218504905700684,""token_logprobs"":[-3.3881402015686035,-1.8555606603622437]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.3206374645233154,""mean_token_logprob"":-1.6603187322616577,""token_logprobs"":[-3.320629119873047,-8.34461570775602e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.49143707752227783,""mean_token_logprob"":-0.49143707752227783,""token_logprobs"":[-0.49143707752227783]}]"
213327,2019_12_0,Infant Cry,bare,Seep,Seep,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-9.081340789794922,""mean_token_logprob"":-3.027113596598307,""token_logprobs"":[-9.080687522888184,-2.3841830625315197e-06,-0.0006516240537166595]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-1.7982486486434937,""mean_token_logprob"":-0.8991243243217468,""token_logprobs"":[-1.7982367277145386,-1.1920858014491387e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-0.7974514365196228,""mean_token_logprob"":-0.3987257182598114,""token_logprobs"":[-0.797450602054596,-8.344646857949556e-07]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-7.061337471008301,""mean_token_logprob"":-3.5306687355041504,""token_logprobs"":[-3.7369377613067627,-3.324399948120117]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-1.5170716047286987,""mean_token_logprob"":-0.7585358023643494,""token_logprobs"":[-1.5169613361358643,-0.0001102625101339072]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-2.4244377613067627,""mean_token_logprob"":-2.4244377613067627,""token_logprobs"":[-2.4244377613067627]}]"
213327,2019_12_0,Infant Cry,definition,Seep,Twitter,false,false,"[{""candidate"":""Infant Cry"",""token_ids"":[19433,517,42705],""token_count"":3,""sequence_logprob"":-7.46532678604126,""mean_token_logprob"":-2.4884422620137534,""token_logprobs"":[-7.465035438537598,-1.5497195136049413e-06,-0.00028975578607060015]},{""candidate"":""Phee"",""token_ids"":[47,49053],""token_count"":2,""sequence_logprob"":-3.1617445945739746,""mean_token_logprob"":-1.5808722972869873,""token_logprobs"":[-3.1616930961608887,-5.1616290875244886e-05]},{""candidate"":""Seep"",""token_ids"":[1514,747],""token_count"":2,""sequence_logprob"":-0.9189065098762512,""mean_token_logprob"":-0.4594532549381256,""token_logprobs"":[-0.9189044833183289,-2.0265558760002023e-06]},{""candidate"":""Trill"",""token_ids"":[1282,483],""token_count"":2,""sequence_logprob"":-5.785536766052246,""mean_token_logprob"":-2.892768383026123,""token_logprobs"":[-3.8400356769561768,-1.9455013275146484]},{""candidate"":""Tsik"",""token_ids"":[52793,1579],""token_count"":2,""sequence_logprob"":-3.0648677349090576,""mean_token_logprob"":-1.5324338674545288,""token_logprobs"":[-3.0648627281188965,-5.006777428206988e-06]},{""candidate"":""Twitter"",""token_ids"":[24862],""token_count"":1,""sequence_logprob"":-0.8400356769561768,""mean_token_logprob"":-0.8400356769561768,""token_logprobs"":[-0.8400356769561768]}]"
