event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
31471,Tsik,E,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.276341199874878,""mean_token_logprob"":-1.276341199874878,""token_logprobs"":[-1.276341199874878]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.276341199874878,""mean_token_logprob"":-1.276341199874878,""token_logprobs"":[-1.276341199874878]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.401341199874878,""mean_token_logprob"":-2.401341199874878,""token_logprobs"":[-2.401341199874878]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.776341199874878,""mean_token_logprob"":-1.776341199874878,""token_logprobs"":[-1.776341199874878]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-2.026341199874878,""mean_token_logprob"":-2.026341199874878,""token_logprobs"":[-2.026341199874878]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-4.713841438293457,""mean_token_logprob"":-4.713841438293457,""token_logprobs"":[-4.713841438293457]}]",A,false
31828,Seep,C,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4450346231460571,""mean_token_logprob"":-1.4450346231460571,""token_logprobs"":[-1.4450346231460571]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.4450346231460571,""mean_token_logprob"":-1.4450346231460571,""token_logprobs"":[-1.4450346231460571]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.6325345039367676,""mean_token_logprob"":-2.6325345039367676,""token_logprobs"":[-2.6325345039367676]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.3825346231460571,""mean_token_logprob"":-1.3825346231460571,""token_logprobs"":[-1.3825346231460571]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.8825346231460571,""mean_token_logprob"":-1.8825346231460571,""token_logprobs"":[-1.8825346231460571]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-4.007534503936768,""mean_token_logprob"":-4.007534503936768,""token_logprobs"":[-4.007534503936768]}]",D,false
34756,Phee,B,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5366182327270508,""mean_token_logprob"":-1.5366182327270508,""token_logprobs"":[-1.5366182327270508]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.5366182327270508,""mean_token_logprob"":-1.5366182327270508,""token_logprobs"":[-1.5366182327270508]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.474118232727051,""mean_token_logprob"":-2.474118232727051,""token_logprobs"":[-2.474118232727051]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.4741182327270508,""mean_token_logprob"":-1.4741182327270508,""token_logprobs"":[-1.4741182327270508]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.9116182327270508,""mean_token_logprob"":-1.9116182327270508,""token_logprobs"":[-1.9116182327270508]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.599118232727051,""mean_token_logprob"":-2.599118232727051,""token_logprobs"":[-2.599118232727051]}]",D,false
36485,Phee,B,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.661346435546875,""mean_token_logprob"":-1.661346435546875,""token_logprobs"":[-1.661346435546875]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.661346435546875,""mean_token_logprob"":-1.661346435546875,""token_logprobs"":[-1.661346435546875]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.348846435546875,""mean_token_logprob"":-2.348846435546875,""token_logprobs"":[-2.348846435546875]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.411346435546875,""mean_token_logprob"":-1.411346435546875,""token_logprobs"":[-1.411346435546875]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.973846435546875,""mean_token_logprob"":-1.973846435546875,""token_logprobs"":[-1.973846435546875]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.223846435546875,""mean_token_logprob"":-2.223846435546875,""token_logprobs"":[-2.223846435546875]}]",D,false
36522,Twitter,F,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.3119926452636719,""mean_token_logprob"":-1.3119926452636719,""token_logprobs"":[-1.3119926452636719]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3744926452636719,""mean_token_logprob"":-1.3744926452636719,""token_logprobs"":[-1.3744926452636719]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.499492645263672,""mean_token_logprob"":-2.499492645263672,""token_logprobs"":[-2.499492645263672]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.8119926452636719,""mean_token_logprob"":-1.8119926452636719,""token_logprobs"":[-1.8119926452636719]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.8744926452636719,""mean_token_logprob"":-1.8744926452636719,""token_logprobs"":[-1.8744926452636719]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-3.499492645263672,""mean_token_logprob"":-3.499492645263672,""token_logprobs"":[-3.499492645263672]}]",A,false
405841,Infant Cry,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.3969573974609375,""mean_token_logprob"":-1.3969573974609375,""token_logprobs"":[-1.3969573974609375]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.5844573974609375,""mean_token_logprob"":-1.5844573974609375,""token_logprobs"":[-1.5844573974609375]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-3.0219573974609375,""mean_token_logprob"":-3.0219573974609375,""token_logprobs"":[-3.0219573974609375]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-2.0844573974609375,""mean_token_logprob"":-2.0844573974609375,""token_logprobs"":[-2.0844573974609375]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.6469573974609375,""mean_token_logprob"":-1.6469573974609375,""token_logprobs"":[-1.6469573974609375]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.0219573974609375,""mean_token_logprob"":-2.0219573974609375,""token_logprobs"":[-2.0219573974609375]}]",A,true
408631,Phee,B,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5174978971481323,""mean_token_logprob"":-1.5174978971481323,""token_logprobs"":[-1.5174978971481323]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.6424978971481323,""mean_token_logprob"":-1.6424978971481323,""token_logprobs"":[-1.6424978971481323]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.329998016357422,""mean_token_logprob"":-2.329998016357422,""token_logprobs"":[-2.329998016357422]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.3299978971481323,""mean_token_logprob"":-1.3299978971481323,""token_logprobs"":[-1.3299978971481323]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.8924978971481323,""mean_token_logprob"":-1.8924978971481323,""token_logprobs"":[-1.8924978971481323]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-3.579998016357422,""mean_token_logprob"":-3.579998016357422,""token_logprobs"":[-3.579998016357422]}]",D,false
50919,Tsik,E,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.3650245666503906,""mean_token_logprob"":-1.3650245666503906,""token_logprobs"":[-1.3650245666503906]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.5525245666503906,""mean_token_logprob"":-1.5525245666503906,""token_logprobs"":[-1.5525245666503906]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.6775245666503906,""mean_token_logprob"":-2.6775245666503906,""token_logprobs"":[-2.6775245666503906]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.9900245666503906,""mean_token_logprob"":-1.9900245666503906,""token_logprobs"":[-1.9900245666503906]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.7400245666503906,""mean_token_logprob"":-1.7400245666503906,""token_logprobs"":[-1.7400245666503906]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.1775245666503906,""mean_token_logprob"":-2.1775245666503906,""token_logprobs"":[-2.1775245666503906]}]",A,false
51436,Trill,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5030874013900757,""mean_token_logprob"":-1.5030874013900757,""token_logprobs"":[-1.5030874013900757]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.2530874013900757,""mean_token_logprob"":-1.2530874013900757,""token_logprobs"":[-1.2530874013900757]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.6280875205993652,""mean_token_logprob"":-2.6280875205993652,""token_logprobs"":[-2.6280875205993652]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.7530874013900757,""mean_token_logprob"":-1.7530874013900757,""token_logprobs"":[-1.7530874013900757]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.7530874013900757,""mean_token_logprob"":-1.7530874013900757,""token_logprobs"":[-1.7530874013900757]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-3.7530875205993652,""mean_token_logprob"":-3.7530875205993652,""token_logprobs"":[-3.7530875205993652]}]",B,false
517703,Trill,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4833840131759644,""mean_token_logprob"":-1.4833840131759644,""token_logprobs"":[-1.4833840131759644]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3583840131759644,""mean_token_logprob"":-1.3583840131759644,""token_logprobs"":[-1.3583840131759644]},{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-2.733384132385254,""mean_token_logprob"":-2.733384132385254,""token_logprobs"":[-2.733384132385254]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-1.9208840131759644,""mean_token_logprob"":-1.9208840131759644,""token_logprobs"":[-1.9208840131759644]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.5458840131759644,""mean_token_logprob"":-1.5458840131759644,""token_logprobs"":[-1.5458840131759644]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-4.358384132385254,""mean_token_logprob"":-4.358384132385254,""token_logprobs"":[-4.358384132385254]}]",B,false
