model_id,event_id,condition,target,raw_prediction,prediction,correct,batch_size
Qwen/Qwen2.5-Omni-7B,193131,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,213327,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223077,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223312,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,223332,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223352,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223383,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223396,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,223400,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,299793,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,329778,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,342684,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,352081,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,354197,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,357670,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,405841,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508764,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508801,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,509083,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,509091,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,518850,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,526040,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526671,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,526711,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,540984,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558438,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558594,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558633,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,565266,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,583214,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,604234,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,609454,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,612455,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,618440,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,623691,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,628729,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,631861,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,6633,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,667865,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,667905,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,670039,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,691528,full_0-8k,Infant Cry,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,693164,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,731937,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,742006,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,763863,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,765458,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,799579,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,817109,full_0-8k,Infant Cry,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,9024,full_0-8k,Infant Cry,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,108998,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,202978,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,221515,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,223196,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,223206,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,223208,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,268974,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,285967,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,36485,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,377896,full_0-8k,Phee,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,389438,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,395548,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,408631,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,508696,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,508775,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,508966,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,509009,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,509036,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,509047,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,509050,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,511620,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,525796,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,525942,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,527518,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,528688,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,536094,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,539354,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,54180,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,558541,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,582669,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,583172,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,584012,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,61472,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,631485,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,632863,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,638580,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,639491,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,647588,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,658275,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,669577,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,773651,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,788000,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,794666,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,822050,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,824405,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,851005,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,852264,full_0-8k,Phee,Seep,Seep,false,1
Qwen/Qwen2.5-Omni-7B,857896,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,860537,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,862343,full_0-8k,Phee,Phee,Phee,true,1
Qwen/Qwen2.5-Omni-7B,211832,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,211974,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,212002,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,212106,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,212109,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,212110,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,212120,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,212127,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,212130,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,223298,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,235891,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,294079,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,297892,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,303572,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,411252,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,414997,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,495081,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,508896,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,509065,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,523406,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,527437,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,533988,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,541326,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,556028,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,571992,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,582662,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,583884,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,584362,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,586064,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,617822,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,619623,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,622417,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,623382,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,631021,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,637669,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,652668,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,655868,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,667130,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,669272,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,669273,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,670290,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,697899,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,734314,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,739815,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,741056,full_0-8k,Seep,Seep,Seep,true,1
Qwen/Qwen2.5-Omni-7B,769489,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,773125,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,81191,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,857186,full_0-8k,Seep,Phee,Phee,false,1
Qwen/Qwen2.5-Omni-7B,866655,full_0-8k,Seep,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,161850,full_0-8k,Trill,Tsik,Tsik,false,1
Qwen/Qwen2.5-Omni-7B,172015,full_0-8k,Trill,Phee,Phee,false,1
